word_no,words,clue
258,HTTPLIB,HTTP protocol client
259,FTPLIB,FTP protocol client
260,POPLIB,POP protocol client
261,IMAPLIB,IMAP protocol client
262,NNTPLIB,NNTP protocol client
263,SMTPLIB,SMTP protocol client
264,TELNETLIB,Telnet client
265,UUID,UUID objects according to RFC
266,SOCKETSERVER,A framework for network servers
267,XMLRPC,XML-RPC client and server libraries
268,SIMPLEXMLRPC,Basic XML-RPC server
269,DOCTEST,Test interactive examples
270,UNITTEST,Unit testing framework
271,TEST,Regression tests package for the standard library
272,SQLITE,DB-API interface for SQLite databases
273,ZLIB,Compression compatible with gzip
274,GZIP,Support for gzip files
275,TARFILE,Read and write tar archive files
